date,metric,value,unit,source,fetched_at,raw_ref
2016-05-11,DemaSIN,182389356.52,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-11,PorcApor,0.74677,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-11,PorcVoluUtilDiar,0.42204,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-11,PrecBolsNaci,124.55689333333332,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-11,VoluUtilDiarEner,7291297600,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-12,AporEner,141137600,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-12,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-12,CapaUtilDiarEner,17276246093,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-12,DemaSIN,187661248.84,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-12,PorcApor,0.62697,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-12,PorcVoluUtilDiar,0.42087,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-12,PrecBolsNaci,120.51133,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-12,VoluUtilDiarEner,7271034600,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-13,AporEner,170825300,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-13,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-13,CapaUtilDiarEner,17276246093,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-13,DemaSIN,189985403.95,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-13,PorcApor,0.75885,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-13,PorcVoluUtilDiar,0.42066,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-13,PrecBolsNaci,111.73935999999999,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-13,VoluUtilDiarEner,7267477000,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-14,AporEner,138885700,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-14,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-14,CapaUtilDiarEner,17276246093,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-14,DemaSIN,180500615.33,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-14,PorcApor,0.61697,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-14,PorcVoluUtilDiar,0.41934,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-14,PrecBolsNaci,112.73125999999996,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-14,VoluUtilDiarEner,7244686300,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-15,AporEner,152320500,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
