date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2018-01-04,generacion_vapor_bunker,8071532.259,8.315,29546979.354,37.585,29546979.354,37.585,1611755311.209,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,importacion_colombia,0,-100,57396.361,0,57396.361,0,39667185.823,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,importacion_peru,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,total_exportacion,4838480.252,4.98,14029303.484,52.645,14029303.484,52.645,245164661.129,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,total_generacion,79505404.733,2.599,282697950.529,39.128,282697950.529,39.128,24259374500.826,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,total_importacion,0,-100,57396.361,0,57396.361,0,39667185.823,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,total_perdidas_transporte,7913887.591,-8.138,31876727.124,33.026,31876727.124,33.026,1460464228.576,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-05,demanda_distribucion,62718415.678,-2.202,291201179.483,27.45,291201179.483,27.45,21418908367.225,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,exportacion_peru,0,0,0,0,0,0,15835543.635,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,generacion_hidraulica,4062879.421,-93.815,235895968.354,1.753,235895968.354,1.753,20117139131.745,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,generacion_motores_bunker,0,-100,7315856.735,0,7315856.735,0,1046370720.152,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,generacion_otros_tipos,130190.157,-55.277,1180885.899,12.391,1180885.899,12.391,124814021.859,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,generacion_turbinas_diesel,48.917,-99.973,750595.173,0.007,750595.173,0.007,102849241.36,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,generacion_vapor_bunker,0,-100,29546979.354,0,29546979.354,0,1602078283.125,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,importacion_peru,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
2018-01-05,total_exportacion,0,0,0,0,0,0,15835543.635,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:14Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-05
