site,river_id,month_day,horizon_days,first_year,last_year,median_m3s
manduriacu,670078161,04-07,7,1940,2023,648.75
minas_san_francisco,670027091,04-07,7,1940,2023,217.242
agoyan,621014469,04-08,7,1940,2023,477.707
manduriacu,670078161,04-08,7,1940,2023,642.996
minas_san_francisco,670027091,04-08,7,1940,2023,224.965
agoyan,621014469,04-09,7,1940,2023,493.074
manduriacu,670078161,04-09,7,1940,2023,641.209
minas_san_francisco,670027091,04-09,7,1940,2023,216.153
agoyan,621014469,04-10,7,1940,2023,500.891
manduriacu,670078161,04-10,7,1940,2023,629.38
minas_san_francisco,670027091,04-10,7,1940,2023,207.457
agoyan,621014469,04-11,7,1940,2023,524.29
manduriacu,670078161,04-11,7,1940,2023,653.632
minas_san_francisco,670027091,04-11,7,1940,2023,220.487
agoyan,621014469,04-12,7,1940,2023,517.286
manduriacu,670078161,04-12,7,1940,2023,667.578
minas_san_francisco,670027091,04-12,7,1940,2023,209.255
agoyan,621014469,04-13,7,1940,2023,514.332
manduriacu,670078161,04-13,7,1940,2023,676.125
minas_san_francisco,670027091,04-13,7,1940,2023,213.519
agoyan,621014469,04-14,7,1940,2023,503.894
manduriacu,670078161,04-14,7,1940,2023,689.114
minas_san_francisco,670027091,04-14,7,1940,2023,203.611
agoyan,621014469,04-15,7,1940,2023,512.173
manduriacu,670078161,04-15,7,1940,2023,687.58
minas_san_francisco,670027091,04-15,7,1940,2023,206.645
agoyan,621014469,04-16,7,1940,2023,499.075
manduriacu,670078161,04-16,7,1940,2023,680.417
minas_san_francisco,670027091,04-16,7,1940,2023,200.18
agoyan,621014469,04-17,7,1940,2023,498.898
manduriacu,670078161,04-17,7,1940,2023,696.221
minas_san_francisco,670027091,04-17,7,1940,2023,201.221
agoyan,621014469,04-18,7,1940,2023,503.728
manduriacu,670078161,04-18,7,1940,2023,690.707
minas_san_francisco,670027091,04-18,7,1940,2023,201.207
agoyan,621014469,04-19,7,1940,2023,501.244
manduriacu,670078161,04-19,7,1940,2023,683.199
minas_san_francisco,670027091,04-19,7,1940,2023,198.452
agoyan,621014469,04-20,7,1940,2023,485.031
manduriacu,670078161,04-20,7,1940,2023,667.887
minas_san_francisco,670027091,04-20,7,1940,2023,195.601
agoyan,621014469,04-21,7,1940,2023,487.411
manduriacu,670078161,04-21,7,1940,2023,666.545
minas_san_francisco,670027091,04-21,7,1940,2023,200.828
agoyan,621014469,04-22,7,1940,2023,492.223
manduriacu,670078161,04-22,7,1940,2023,676.035
minas_san_francisco,670027091,04-22,7,1940,2023,200.884
agoyan,621014469,04-23,7,1940,2023,492.707
manduriacu,670078161,04-23,7,1940,2023,687.822
minas_san_francisco,670027091,04-23,7,1940,2023,200.299
agoyan,621014469,04-24,7,1940,2023,485.567
manduriacu,670078161,04-24,7,1940,2023,694.466
minas_san_francisco,670027091,04-24,7,1940,2023,202.224
agoyan,621014469,04-25,7,1940,2023,486.527
manduriacu,670078161,04-25,7,1940,2023,697.08
minas_san_francisco,670027091,04-25,7,1940,2023,205.765
agoyan,621014469,04-26,7,1940,2023,486.8
manduriacu,670078161,04-26,7,1940,2023,687.703
minas_san_francisco,670027091,04-26,7,1940,2023,201.679
agoyan,621014469,04-27,7,1940,2023,488.653
manduriacu,670078161,04-27,7,1940,2023,696.093
minas_san_francisco,670027091,04-27,7,1940,2023,192.428
agoyan,621014469,04-28,7,1940,2023,469.529
manduriacu,670078161,04-28,7,1940,2023,684.963
minas_san_francisco,670027091,04-28,7,1940,2023,189.483
agoyan,621014469,04-29,7,1940,2023,466.475
manduriacu,670078161,04-29,7,1940,2023,677.892
minas_san_francisco,670027091,04-29,7,1940,2023,183.986
agoyan,621014469,04-30,7,1940,2023,453.327
manduriacu,670078161,04-30,7,1940,2023,671.127
minas_san_francisco,670027091,04-30,7,1940,2023,180.793
agoyan,621014469,05-01,7,1940,2023,457.813
manduriacu,670078161,05-01,7,1940,2023,654.919
minas_san_francisco,670027091,05-01,7,1940,2023,175.186
agoyan,621014469,05-02,7,1940,2023,443.309
manduriacu,670078161,05-02,7,1940,2023,631.88
minas_san_francisco,670027091,05-02,7,1940,2023,173.507
agoyan,621014469,05-03,7,1940,2023,425.719
manduriacu,670078161,05-03,7,1940,2023,612.086
minas_san_francisco,670027091,05-03,7,1940,2023,162.578
agoyan,621014469,05-04,7,1940,2023,415.374
manduriacu,670078161,05-04,7,1940,2023,603.626
minas_san_francisco,670027091,05-04,7,1940,2023,162.748
agoyan,621014469,05-05,7,1940,2023,410.828
manduriacu,670078161,05-05,7,1940,2023,602.037
minas_san_francisco,670027091,05-05,7,1940,2023,154.985
agoyan,621014469,05-06,7,1940,2023,400.133
manduriacu,670078161,05-06,7,1940,2023,589.171
minas_san_francisco,670027091,05-06,7,1940,2023,153.414
agoyan,621014469,05-07,7,1940,2023,389.57
manduriacu,670078161,05-07,7,1940,2023,583.194
minas_san_francisco,670027091,05-07,7,1940,2023,146.071
agoyan,621014469,05-08,7,1940,2023,387.474
manduriacu,670078161,05-08,7,1940,2023,574.57
minas_san_francisco,670027091,05-08,7,1940,2023,143.766
agoyan,621014469,05-09,7,1940,2023,390.039
manduriacu,670078161,05-09,7,1940,2023,568.817
minas_san_francisco,670027091,05-09,7,1940,2023,140.539
agoyan,621014469,05-10,7,1940,2023,378.6
manduriacu,670078161,05-10,7,1940,2023,573.315
minas_san_francisco,670027091,05-10,7,1940,2023,140.917
agoyan,621014469,05-11,7,1940,2023,373.024
manduriacu,670078161,05-11,7,1940,2023,587.502
minas_san_francisco,670027091,05-11,7,1940,2023,139.016
agoyan,621014469,05-12,7,1940,2023,369.721
manduriacu,670078161,05-12,7,1940,2023,571.162
minas_san_francisco,670027091,05-12,7,1940,2023,138.262
agoyan,621014469,05-13,7,1940,2023,372.98
manduriacu,670078161,05-13,7,1940,2023,563.845
minas_san_francisco,670027091,05-13,7,1940,2023,134.573
agoyan,621014469,05-14,7,1940,2023,368.218
manduriacu,670078161,05-14,7,1940,2023,580.446
minas_san_francisco,670027091,05-14,7,1940,2023,137.042
agoyan,621014469,05-15,7,1940,2023,362.384
manduriacu,670078161,05-15,7,1940,2023,565.854
minas_san_francisco,670027091,05-15,7,1940,2023,140.902
agoyan,621014469,05-16,7,1940,2023,355.405
manduriacu,670078161,05-16,7,1940,2023,545.794
minas_san_francisco,670027091,05-16,7,1940,2023,137.851
agoyan,621014469,05-17,7,1940,2023,351.892
manduriacu,670078161,05-17,7,1940,2023,545.563
minas_san_francisco,670027091,05-17,7,1940,2023,134.694
agoyan,621014469,05-18,7,1940,2023,346.229
manduriacu,670078161,05-18,7,1940,2023,546.727
minas_san_francisco,670027091,05-18,7,1940,2023,134.846
agoyan,621014469,05-19,7,1940,2023,346.61
manduriacu,670078161,05-19,7,1940,2023,541.24
minas_san_francisco,670027091,05-19,7,1940,2023,128.743
agoyan,621014469,05-20,7,1940,2023,340.298
manduriacu,670078161,05-20,7,1940,2023,539.702
minas_san_francisco,670027091,05-20,7,1940,2023,127.643
agoyan,621014469,05-21,7,1940,2023,334.256
manduriacu,670078161,05-21,7,1940,2023,543.66
minas_san_francisco,670027091,05-21,7,1940,2023,129.747
agoyan,621014469,05-22,7,1940,2023,348.683
manduriacu,670078161,05-22,7,1940,2023,535.04
