date,site,variable,value,source,mrid,fetched_at,raw_ref
2014-08-20,mazar,caudal_m3s,64.946761,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-21,mazar,caudal_m3s,51.087316,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-22,mazar,caudal_m3s,27.955113,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-23,mazar,caudal_m3s,44.011404,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-24,mazar,caudal_m3s,50.465395,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-25,mazar,caudal_m3s,49.629242,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-26,mazar,caudal_m3s,53.403595,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-27,mazar,caudal_m3s,42.918823,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-28,mazar,caudal_m3s,47.675324,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-29,mazar,caudal_m3s,51.814017,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-30,mazar,caudal_m3s,111.666775,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-31,mazar,caudal_m3s,57.077493,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-09-01,mazar,caudal_m3s,53.266622,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-02,mazar,caudal_m3s,48.379218,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-03,mazar,caudal_m3s,43.866405,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-04,mazar,caudal_m3s,36.86306,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-05,mazar,caudal_m3s,42.041036,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-06,mazar,caudal_m3s,21.956675,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-07,mazar,caudal_m3s,29.022129,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-08,mazar,caudal_m3s,22.347732,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
2014-09-09,mazar,caudal_m3s,21.986336,ords:pointValues,30538,2026-09-22T13:54:02Z,celec_ords/2014/09/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-09-01
